taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160926690,8918476,FI,present,alien,,,,
160926695,3034825,FI,present,alien,invasive,,,
160926696,2882404,FI,present,alien,invasive,,,
2366634,6166945,FI,present,alien,invasive,,,
160926706,2891774,FI,present,alien,invasive,,,
160926709,2964355,FI,present,alien,invasive,,,
160926712,3642949,FI,present,alien,invasive,,,
160926715,2220312,FI,present,alien,,,,
160926718,2287072,FI,present,alien,,,,
160926721,2440965,FI,present,alien,,,,
160926723,2964525,FI,present,alien,,,,
160926725,5232437,FI,present,alien,,,,
160926729,2379089,FI,present,alien,invasive,,,
160926730,3628745,FI,present,alien,invasive,,,
160926733,2226990,FI,present,alien,invasive,,,
160926734,2436940,FI,present,alien,invasive,,,
160926735,2891782,FI,present,alien,invasive,,,
160926736,2891770,FI,present,alien,invasive,,,
160926737,2366634,FI,present,alien,,,,
160926740,3085433,FI,present,alien,yes,,,
6467647,2115717,FI,present,alien,invasive,,,
160926742,2705297,FI,present,alien,invasive,,,
160926746,3202936,FI,present,alien,invasive,,,
160926751,2703647,FI,present,alien,,,,
160926755,9188840,FI,present,alien,invasive,,,
160926758,5204037,FI,present,alien,invasive,,,
160926760,2351136,FI,present,alien,invasive,,,
160926763,8002952,FI,present,alien,,,,
160926764,2700874,FI,present,alien,yes,,,
160926768,4346612,FI,present,alien,invasive,,,
160926774,5290097,FI,present,alien,,,,
160926781,2287076,FI,present,alien,invasive,,,
160926786,6109534,FI,present,alien,,,,
160926792,2219863,FI,present,alien,,,,
8313437,3498756,FI,present,alien,,,,
160926798,9490132,FI,present,alien,invasive,,,
160926799,4933598,FI,present,alien,,,,
160926800,5218823,FI,present,alien,invasive,,,
160926801,2225776,FI,present,alien,invasive,,,
160926802,2234642,FI,present,alien,invasive,,,
8946295,4417551,FI,present,alien,invasive,,,
9631539,3169305,FI,present,alien,,,,
160926805,3189870,FI,present,alien,,,,
160926810,2379235,FI,present,alien,,,,
160926811,8202030,FI,present,alien,,,,
160926812,2439261,FI,present,alien,invasive,,,
160926815,5204019,FI,present,alien,invasive,,,
160926818,2888443,FI,present,alien,,,,
160926821,2869311,FI,present,alien,,,,
7095758,6427720,FI,present,alien,invasive,,,
160926825,2865448,FI,present,alien,,,,
2889173,5334357,FI,present,alien,invasive,,,
4038485,5652296,FI,present,alien,invasive,,,
160926830,5716488,FI,present,alien,,,,
3146791,5404801,FI,present,alien,,,,
160926835,2266009,FI,present,alien,invasive,,,
160926838,2913931,FI,present,alien,invasive,,,
160926839,2913931,FI,present,alien,invasive,,,
160926840,2702808,FI,present,alien,,,,
160926843,2439838,FI,present,alien,invasive,,,
160926844,4286868,FI,present,alien,,,,
160926847,2703670,FI,present,alien,yes,,,
160926850,7686253,FI,present,alien,invasive,,,
2889088,5334293,FI,present,alien,invasive,,,
160926855,2975663,FI,present,alien,,,,
160926858,2402168,FI,present,alien,,,,
160926862,2390064,FI,present,alien,,,,
160926864,2928441,FI,present,alien,invasive,,,
160926865,5192470,FI,present,alien,,,,
160926866,4315140,FI,present,alien,,,,
160926867,2704211,FI,present,alien,,,,
160926868,3001244,FI,present,alien,,,,
160926869,2321007,FI,present,alien,invasive,,,
3023903,3023852,FI,present,alien,invasive,,,
160926871,4287131,FI,present,alien,,,,
160926875,2705484,FI,present,alien,invasive,,,
8368630,8166987,FI,present,alien,,,,
160926877,5219858,FI,present,alien,yes,,,
160926878,2434552,FI,present,alien,invasive,,,
160926879,2402129,FI,present,alien,,,,
160926887,4286975,FI,present,alien,invasive,,,
160926889,3120333,FI,present,alien,yes,,,
160926892,2114446,FI,present,alien,,,,
160926896,2227663,FI,present,alien,,,,
160926898,2685654,FI,present,alien,,,,
160926899,2685383,FI,present,alien,,,,
163433495,2308676,FI,present,alien,,,,
163433538,5289693,FI,present,alien,,,,
163433539,5289684,FI,present,alien,,,,
4067581,7394916,FI,present,alien,,,,
163433555,2926068,FI,present,alien,,,,
163433562,2986185,FI,present,alien,,,,
163433568,3053376,FI,present,alien,invasive,,,
163433573,2888723,FI,present,alien,invasive,,,
163433578,2351271,FI,present,alien,invasive,,,
163433581,2351327,FI,present,alien,invasive,,,
163433600,1450317,FI,present,alien,,,,
163433642,3012089,FI,present,alien,,,,
163433643,3003979,FI,present,alien,invasive,,,
5388606,3107668,FI,present,alien,,,,
163433648,5389058,FI,present,alien,invasive,,,
163433649,5389017,FI,present,alien,invasive,,,
163433650,5389029,FI,present,alien,invasive,,,
163433657,2684171,FI,present,alien,,,,
